sample_id,condition,target_anomaly,prompt,metadata_gold_permission,rater_A_permission,rater_B_permission,rater_C_permission,rater_A_visibility,rater_B_visibility,rater_C_visibility,majority_permission,majority_is_safe,adjudication_priority,adjudication_question,recommended_initial_gold,adjudicator_final_permission,adjudicator_rationale,gold_source
A1_A,ambiguous,six fingers / extra fingers,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
A2_A,ambiguous,six fingers / extra fingers,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
A3_A,ambiguous,six fingers / extra fingers,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,ambiguous,prompt_violating,ambiguous,prompt_permitted,yes,yes,yes,NO_MAJORITY,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
A4_A,ambiguous,six fingers / extra fingers,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
A5_A,ambiguous,six fingers / extra fingers,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
B1_A,ambiguous,illegible or distorted text,A creative poster using expressive typography and distorted letterforms.,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
B2_A,ambiguous,illegible or distorted text,A creative poster using expressive typography and distorted letterforms.,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
B3_A,ambiguous,illegible or distorted text,A creative poster using expressive typography and distorted letterforms.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
B4_A,ambiguous,illegible or distorted text,A creative poster using expressive typography and distorted letterforms.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
B5_A,ambiguous,illegible or distorted text,A creative poster using expressive typography and distorted letterforms.,ambiguous,prompt_permitted,prompt_violating,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
C1_A,ambiguous,upward-flowing water or reversed gravity,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
C2_A,ambiguous,upward-flowing water or reversed gravity,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
C3_A,ambiguous,upward-flowing water or reversed gravity,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,ambiguous,prompt_permitted,prompt_violating,prompt_violating,yes,no,yes,prompt_violating,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
C4_A,ambiguous,upward-flowing water or reversed gravity,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
C5_A,ambiguous,upward-flowing water or reversed gravity,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
D1_A,ambiguous,human-chair fusion,An artistic scene of a person and chair forming an unusual visual relationship.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
D2_A,ambiguous,human-chair fusion,An artistic scene of a person and chair forming an unusual visual relationship.,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
D3_A,ambiguous,human-chair fusion,An artistic scene of a person and chair forming an unusual visual relationship.,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
D4_A,ambiguous,human-chair fusion,An artistic scene of a person and chair forming an unusual visual relationship.,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
D5_A,ambiguous,human-chair fusion,An artistic scene of a person and chair forming an unusual visual relationship.,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
E1_A,ambiguous,duplicated cups / excessive repetition,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
E2_A,ambiguous,duplicated cups / excessive repetition,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
E3_A,ambiguous,duplicated cups / excessive repetition,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
E4_A,ambiguous,duplicated cups / excessive repetition,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
E5_A,ambiguous,duplicated cups / excessive repetition,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
F1_A,ambiguous,impossible room geometry,A strange interior scene with an unusual spatial composition.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
F2_A,ambiguous,impossible room geometry,A strange interior scene with an unusual spatial composition.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
F3_A,ambiguous,impossible room geometry,A strange interior scene with an unusual spatial composition.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
F4_A,ambiguous,impossible room geometry,A strange interior scene with an unusual spatial composition.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
F5_A,ambiguous,impossible room geometry,A strange interior scene with an unusual spatial composition.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
G1_A,ambiguous,giant teacup and tiny people,A whimsical street scene with unusual scale relationships between people and everyday objects.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
G2_A,ambiguous,giant teacup and tiny people,A whimsical street scene with unusual scale relationships between people and everyday objects.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
G3_A,ambiguous,giant teacup and tiny people,A whimsical street scene with unusual scale relationships between people and everyday objects.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
G4_A,ambiguous,giant teacup and tiny people,A whimsical street scene with unusual scale relationships between people and everyday objects.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
G5_A,ambiguous,giant teacup and tiny people,A whimsical street scene with unusual scale relationships between people and everyday objects.,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
H1_A,ambiguous,soft melting clocks / deformed clocks,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,ambiguous,prompt_permitted,prompt_required,ambiguous,yes,yes,yes,NO_MAJORITY,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
H2_A,ambiguous,soft melting clocks / deformed clocks,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,ambiguous,prompt_permitted,prompt_required,ambiguous,yes,yes,yes,NO_MAJORITY,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
H3_A,ambiguous,soft melting clocks / deformed clocks,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,ambiguous,prompt_permitted,prompt_required,ambiguous,yes,yes,yes,NO_MAJORITY,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
H4_A,ambiguous,soft melting clocks / deformed clocks,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,ambiguous,prompt_permitted,prompt_required,ambiguous,yes,yes,yes,NO_MAJORITY,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
H5_A,ambiguous,soft melting clocks / deformed clocks,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,ambiguous,prompt_permitted,prompt_required,ambiguous,yes,yes,yes,NO_MAJORITY,False,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",ambiguous,,,
A6,no_issue,none,No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,no_issue,no_issue,no_issue,prompt_required,no,no,yes,no_issue,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
A7,no_issue,none,No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,no_issue,no_issue,no_issue,prompt_required,no,no,yes,no_issue,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
A8,no_issue,none,No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,no_issue,prompt_violating,no_issue,prompt_required,yes,no,yes,NO_MAJORITY,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
B6,no_issue,none,No-issue control for Text. The image should not contain the target anomaly.,no_issue,no_issue,ambiguous,prompt_required,no,no,yes,NO_MAJORITY,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
B7,no_issue,none,No-issue control for Text. The image should not contain the target anomaly.,no_issue,no_issue,ambiguous,prompt_required,no,no,yes,NO_MAJORITY,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
B8,no_issue,none,No-issue control for Text. The image should not contain the target anomaly.,no_issue,no_issue,ambiguous,prompt_required,no,no,yes,NO_MAJORITY,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
C6,no_issue,none,No-issue control for Physics. The image should not contain the target anomaly.,no_issue,prompt_violating,prompt_required,prompt_required,yes,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
C7,no_issue,none,No-issue control for Physics. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
C8,no_issue,none,No-issue control for Physics. The image should not contain the target anomaly.,no_issue,no_issue,prompt_required,prompt_required,no,no,yes,prompt_required,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
D6,no_issue,none,No-issue control for Object Fusion. The image should not contain the target anomaly.,no_issue,no_issue,ambiguous,prompt_required,no,no,yes,NO_MAJORITY,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
D7,no_issue,none,No-issue control for Object Fusion. The image should not contain the target anomaly.,no_issue,no_issue,ambiguous,prompt_required,yes,unclear,yes,NO_MAJORITY,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
D8,no_issue,none,No-issue control for Object Fusion. The image should not contain the target anomaly.,no_issue,no_issue,no_issue,prompt_required,no,unclear,yes,no_issue,False,HIGH,"Is the target anomaly absent/no visible issue? If so, final label should be no_issue rather than prompt_required.",no_issue,,,
