sample_id,image_id,image_path,axis_code,axis_en,condition,target_anomaly_en,permission_gold,hallucination_gold,rater1_permission,rater1_hallucination,rater1_visible,rater1_confidence,rater1_issue_tag,rater1_comment,rater1_gold_permission_match,rater1_gold_hallucination_match,gpt_5_4_permission,gpt_5_4_hallucination,gpt_5_4_permission_match_rater1,gpt_5_4_hallucination_match_rater1,gpt_5_4_both_match_rater1,claude_sonnet_4_6_permission,claude_sonnet_4_6_hallucination,claude_sonnet_4_6_permission_match_rater1,claude_sonnet_4_6_hallucination_match_rater1,claude_sonnet_4_6_both_match_rater1,gemini_3_1_pro_preview_permission,gemini_3_1_pro_preview_hallucination,gemini_3_1_pro_preview_permission_match_rater1,gemini_3_1_pro_preview_hallucination_match_rater1,gemini_3_1_pro_preview_both_match_rater1
A1_V,A1,image/A1.png,A1,Anatomy / Hands,violating,six fingers / extra fingers,prompt_violating,yes,prompt_violating,yes,no,3,prompt_mismatch,prompt和图像严重不符,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
A1_P,A1,image/A1.png,A1,Anatomy / Hands,permitted,six fingers / extra fingers,prompt_required,no,prompt_required,no,yes,2,prompt_mismatch,图像一只手五根手指，另一只手六根手指,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
A1_A,A1,image/A1.png,A1,Anatomy / Hands,ambiguous,six fingers / extra fingers,ambiguous,uncertain,prompt_required,no,yes,3,none,,False,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False
A2_V,A2,image/A2.png,A1,Anatomy / Hands,violating,six fingers / extra fingers,prompt_violating,yes,prompt_required,no,yes,2,prompt_mismatch,图像一只手五根手指，另一只手六根手指,False,False,prompt_violating,yes,False,False,False,prompt_violating,yes,False,False,False,prompt_violating,yes,False,False,False
A2_P,A2,image/A2.png,A1,Anatomy / Hands,permitted,six fingers / extra fingers,prompt_required,no,prompt_required,no,yes,2,prompt_mismatch,图像一只手五根手指，另一只手六根手指,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
A2_A,A2,image/A2.png,A1,Anatomy / Hands,ambiguous,six fingers / extra fingers,ambiguous,uncertain,prompt_required,no,yes,3,none,,False,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False
A3_V,A3,image/A3.png,A1,Anatomy / Hands,violating,six fingers / extra fingers,prompt_violating,yes,prompt_violating,yes,no,3,prompt_mismatch,prompt和图像严重不符,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
A3_P,A3,image/A3.png,A1,Anatomy / Hands,permitted,six fingers / extra fingers,prompt_required,no,prompt_required,no,yes,3,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
A3_A,A3,image/A3.png,A1,Anatomy / Hands,ambiguous,six fingers / extra fingers,ambiguous,uncertain,ambiguous,uncertain,yes,1,none,,True,True,prompt_permitted,no,False,False,False,prompt_required,no,False,False,False,prompt_permitted,no,False,False,False
A4_V,A4,image/A4.png,A1,Anatomy / Hands,violating,six fingers / extra fingers,prompt_violating,yes,prompt_required,no,yes,3,none,,False,False,prompt_violating,yes,False,False,False,prompt_violating,yes,False,False,False,prompt_violating,yes,False,False,False
A4_P,A4,image/A4.png,A1,Anatomy / Hands,permitted,six fingers / extra fingers,prompt_required,no,prompt_violating,yes,unclear,1,target_not_visible,提示要求六根手指，图像有五根手指,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False
A4_A,A4,image/A4.png,A1,Anatomy / Hands,ambiguous,six fingers / extra fingers,ambiguous,uncertain,prompt_required,no,yes,3,none,,False,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False
A5_V,A5,image/A5.png,A1,Anatomy / Hands,violating,six fingers / extra fingers,prompt_violating,yes,prompt_required,no,no,2,target_not_visible,提示需要5根，图像六根手指,False,False,prompt_violating,yes,False,False,False,prompt_violating,yes,False,False,False,prompt_violating,yes,False,False,False
A5_P,A5,image/A5.png,A1,Anatomy / Hands,permitted,six fingers / extra fingers,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,yes,True,False,False,prompt_required,no,True,True,True
A5_A,A5,image/A5.png,A1,Anatomy / Hands,ambiguous,six fingers / extra fingers,ambiguous,uncertain,prompt_required,no,yes,2,none,,False,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False,prompt_permitted,no,False,True,False
A6,A6,image/A6.png,A1,Anatomy / Hands,no_issue,none,no_issue,no,no_issue,no,no,3,none,,True,True,no_issue,no,True,True,True,no_issue,no,True,True,True,no_issue,no,True,True,True
A7,A7,image/A7.png,A1,Anatomy / Hands,no_issue,none,no_issue,no,no_issue,no,no,2,none,,True,True,no_issue,no,True,True,True,no_issue,no,True,True,True,prompt_violating,yes,False,False,False
A8,A8,image/A8.png,A1,Anatomy / Hands,no_issue,none,no_issue,no,no_issue,no,no,2,none,,True,True,no_issue,no,True,True,True,no_issue,no,True,True,True,no_issue,no,True,True,True
B1_V,B1,image/B1.png,A2,Text,violating,illegible or distorted text,prompt_violating,yes,prompt_violating,yes,yes,1,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
B1_P,B1,image/B1.png,A2,Text,permitted,illegible or distorted text,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
B1_A,B1,image/B1.png,A2,Text,ambiguous,illegible or distorted text,ambiguous,uncertain,ambiguous,uncertain,yes,2,none,,True,True,prompt_required,no,False,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False
B2_V,B2,image/B2.png,A2,Text,violating,illegible or distorted text,prompt_violating,yes,prompt_violating,yes,yes,1,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
B2_P,B2,image/B2.png,A2,Text,permitted,illegible or distorted text,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
B2_A,B2,image/B2.png,A2,Text,ambiguous,illegible or distorted text,ambiguous,uncertain,ambiguous,uncertain,yes,1,none,,True,True,prompt_required,no,False,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False
B3_V,B3,image/B3.png,A2,Text,violating,illegible or distorted text,prompt_violating,yes,prompt_violating,yes,yes,1,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
B3_P,B3,image/B3.png,A2,Text,permitted,illegible or distorted text,prompt_required,no,prompt_required,no,yes,1,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
B3_A,B3,image/B3.png,A2,Text,ambiguous,illegible or distorted text,ambiguous,uncertain,prompt_required,no,yes,1,none,,False,False,prompt_required,no,True,True,True,prompt_required,yes,True,False,False,prompt_required,no,True,True,True
B4_V,B4,image/B4.png,A2,Text,violating,illegible or distorted text,prompt_violating,yes,prompt_violating,yes,yes,1,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
B4_P,B4,image/B4.png,A2,Text,permitted,illegible or distorted text,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
B4_A,B4,image/B4.png,A2,Text,ambiguous,illegible or distorted text,ambiguous,uncertain,prompt_required,no,yes,3,none,,False,False,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
B5_V,B5,image/B5.png,A2,Text,violating,illegible or distorted text,prompt_violating,yes,prompt_violating,yes,yes,2,none,,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True,prompt_violating,yes,True,True,True
B5_P,B5,image/B5.png,A2,Text,permitted,illegible or distorted text,prompt_required,no,prompt_required,no,yes,2,none,,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True,prompt_required,no,True,True,True
B5_A,B5,image/B5.png,A2,Text,ambiguous,illegible or distorted text,ambiguous,uncertain,prompt_violating,yes,yes,1,none,,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False,prompt_required,no,False,False,False
B6,B6,image/B6.png,A2,Text,no_issue,none,no_issue,no,ambiguous,uncertain,no,1,prompt_mismatch,提示要求混乱,False,False,no_issue,no,False,False,False,no_issue,no,False,False,False,no_issue,no,False,False,False
