line_number,sample_id,image_id,axis_code,condition,model,audit_setting,target_anomaly_detected,permission_status_pred,hallucination_pred,confidence,reason,parse_error,output_path,raw_response
1,A1_A,,A1,,gpt-5.4,permission_aware,True,prompt_permitted,no,high,"The portrait clearly depicts unusual hands with extra fingers. Because the prompt explicitly describes a mysterious performer with unusual hands, six fingers/extra fingers are semantically permitted as part of the imaginative, stylized design rather than a contradiction.",,outputs\raw\gpt-5.4\permission_aware\A1_A.json,"{""target_anomaly_detected"":true,""permission_status"":""prompt_permitted"",""should_label_as_hallucination"":""no"",""reason"":""The portrait clearly depicts unusual hands with extra fingers. Because the prompt explicitly describes a mysterious performer with unusual hands, six fingers/extra fingers are semantically permitted as part of the imaginative, stylized design rather than a contradiction."",""confidence"":""high""}"
2,A1_P,,A1,,gpt-5.4,permission_aware,True,prompt_required,no,high,"The prompt explicitly specifies an alien-human performer with six elegant fingers on each hand, making extra fingers an intentional required design element rather than a hallucination.",,outputs\raw\gpt-5.4\permission_aware\A1_P.json,"{""target_anomaly_detected"":true,""permission_status"":""prompt_required"",""should_label_as_hallucination"":""no"",""reason"":""The prompt explicitly specifies an alien-human performer with six elegant fingers on each hand, making extra fingers an intentional required design element rather than a hallucination."",""confidence"":""high""}"
3,A1_V,,A1,,gpt-5.4,permission_aware,True,prompt_violating,yes,high,"The prompt explicitly requires a realistic human performer with natural anatomy and exactly five fingers on each visible hand. The image shows extra fingers/six-fingered hands, which directly contradicts that requirement.",,outputs\raw\gpt-5.4\permission_aware\A1_V.json,"{""target_anomaly_detected"":true,""permission_status"":""prompt_violating"",""should_label_as_hallucination"":""yes"",""reason"":""The prompt explicitly requires a realistic human performer with natural anatomy and exactly five fingers on each visible hand. The image shows extra fingers/six-fingered hands, which directly contradicts that requirement."",""confidence"":""high""}"
4,A2_A,,A1,,gpt-5.4,permission_aware,True,prompt_permitted,no,high,"The image depicts a performer with visibly extra/elongated fingers. The prompt explicitly describes 'unusual hands' in an imaginative portrait, so extra fingers are stylistically and semantically permitted rather than contradictory.",,outputs\raw\gpt-5.4\permission_aware\A2_A.json,"{""target_anomaly_detected"":true,""permission_status"":""prompt_permitted"",""should_label_as_hallucination"":""no"",""reason"":""The image depicts a performer with visibly extra/elongated fingers. The prompt explicitly describes 'unusual hands' in an imaginative portrait, so extra fingers are stylistically and semantically permitted rather than contradictory."",""confidence"":""high""}"
5,A2_P,,A1,,gpt-5.4,permission_aware,True,prompt_required,no,high,"The prompt explicitly specifies an alien-human performer with six elegant fingers on each hand, and the image shows extra fingers as part of the intended character design rather than an error.",,outputs\raw\gpt-5.4\permission_aware\A2_P.json,"{""target_anomaly_detected"":true,""permission_status"":""prompt_required"",""should_label_as_hallucination"":""no"",""reason"":""The prompt explicitly specifies an alien-human performer with six elegant fingers on each hand, and the image shows extra fingers as part of the intended character design rather than an error."",""confidence"":""high""}"
6,A2_V,,A1,,gpt-5.4,permission_aware,True,prompt_violating,yes,high,"The prompt explicitly requires a human performer with natural anatomy and says each visible hand should have exactly five fingers. The image shows extra fingers on the visible hands, so the target anomaly contradicts the prompt.",,outputs\raw\gpt-5.4\permission_aware\A2_V.json,"{""target_anomaly_detected"":true,""permission_status"":""prompt_violating"",""should_label_as_hallucination"":""yes"",""reason"":""The prompt explicitly requires a human performer with natural anatomy and says each visible hand should have exactly five fingers. The image shows extra fingers on the visible hands, so the target anomaly contradicts the prompt."",""confidence"":""high""}"
7,A3_A,,A1,,gpt-5.4,permission_aware,True,prompt_permitted,no,high,"The image depicts extra fingers, and the prompt explicitly describes the performer as having unusual hands. While six fingers are not specifically required, they are a semantically permitted way to realize 'unusual hands.'",,outputs\raw\gpt-5.4\permission_aware\A3_A.json,"{""target_anomaly_detected"":true,""permission_status"":""prompt_permitted"",""should_label_as_hallucination"":""no"",""reason"":""The image depicts extra fingers, and the prompt explicitly describes the performer as having unusual hands. While six fingers are not specifically required, they are a semantically permitted way to realize 'unusual hands.'"",""confidence"":""high""}"
8,A3_P,,A1,,gpt-5.4,permission_aware,True,prompt_required,no,high,"The prompt explicitly specifies an alien-human performer with six elegant fingers on each hand, making extra fingers an intentional required feature rather than a hallucination.",,outputs\raw\gpt-5.4\permission_aware\A3_P.json,"{""target_anomaly_detected"":true,""permission_status"":""prompt_required"",""should_label_as_hallucination"":""no"",""reason"":""The prompt explicitly specifies an alien-human performer with six elegant fingers on each hand, making extra fingers an intentional required feature rather than a hallucination."",""confidence"":""high""}"
9,A3_V,,A1,,gpt-5.4,permission_aware,True,prompt_violating,yes,high,"The prompt explicitly requires natural human anatomy and specifies that each visible hand should have exactly five fingers. The image shows extra fingers/six-fingered hands, which contradicts that requirement.",,outputs\raw\gpt-5.4\permission_aware\A3_V.json,"{""target_anomaly_detected"":true,""permission_status"":""prompt_violating"",""should_label_as_hallucination"":""yes"",""reason"":""The prompt explicitly requires natural human anatomy and specifies that each visible hand should have exactly five fingers. The image shows extra fingers/six-fingered hands, which contradicts that requirement."",""confidence"":""high""}"
10,A4_A,,A1,,gpt-5.4,permission_aware,True,prompt_permitted,no,high,"The prompt explicitly describes a mysterious performer with unusual hands, so extra fingers are a semantically permitted interpretation of that unusual-hand design rather than a contradiction.",,outputs\raw\gpt-5.4\permission_aware\A4_A.json,"{""target_anomaly_detected"":true,""permission_status"":""prompt_permitted"",""should_label_as_hallucination"":""no"",""reason"":""The prompt explicitly describes a mysterious performer with unusual hands, so extra fingers are a semantically permitted interpretation of that unusual-hand design rather than a contradiction."",""confidence"":""high""}"
