sample_id,model,audit_prompt_type,status,parseable,output_path,error_message
A1_A,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A1_A.json,
A2_A,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A2_A.json,
A6,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A6.json,
A7,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A7.json,
A8,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A8.json,
C3_V,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\C3_V.json,
C3_P,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\C3_P.json,
C3_A,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\C3_A.json,
C8,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\C8.json,
D6,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\D6.json,
D8,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\D8.json,
F7,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\F7.json,
G8,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\G8.json,
H6,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\H6.json,
H7,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\H7.json,
