task_order,task_id,image_sha256,axis_code,intended_role,expected_observed_target_state,source_lineage,source_batch
1,V-D6E568A0C4392690,FA7574FFD2828B121529F21C03A015B969B7426BD340C2316A904CF72FBFBF96,A8,target_absent_control,target_absent,expansion,image_gen_v2
2,V-135B8EE60ECDB4FA,CC5AB995C423FDBA8D254319139675D864F7BF0A4062D6593998D1E9468A3B63,A5,anomaly_present,target_present,pilot,legacy_prcv_64
3,V-E8E559B8858E12F4,4093992FEC2365EECB3F76A62C39285CC57558E57C6A3E3CFF9D013974F5A5CA,A1,anomaly_present,target_present,expansion,synthetic_generation_v1
4,V-2A8F89B811D02AE5,D6B37C7E8248BA94AAAE87967C027FBC6774E42144CDF42937317D82E0DC481F,A2,anomaly_present,target_present,expansion,synthetic_batch_1_16
5,V-C3A3D0729F77F447,5347FC55E3F12B25BAAEA0B36D5447BCC8D968B9D81D51DC919E4F46A97FE789,A3,anomaly_present,target_present,expansion,image_gen_v2
6,V-039E5BB5B95ED92B,F774E37CF71238CA60DFBC2A7E89CD55FACE1B1D8CFF47E5830B5CC2643B3910,A1,anomaly_present,target_present,expansion,synthetic_generation_v1
7,V-47483F2BF31C5DB5,9CF07D5F17516B9820F7BD1B53A522F6859EAFD33176E424E996D875FD9A87F3,A2,target_absent_control,target_absent,expansion,synthetic_generation_v1
8,V-DB16C74FDC60F8B6,70922BE6C8431E7A721409D6C49B60F9BACDB8FBC4672B9BAA480B0ECCC17362,A6,target_absent_control,target_absent,expansion,image_gen_v2
9,V-EAC7595C0A5708E9,8AA0C40C6D12B15E4F53C0FE64496E60117426BF40BF09806AFB4A99CDFEA1BC,A5,target_absent_control,target_absent,expansion,image_gen_v2
10,V-F5994052744005BB,D6FC1663FA81E6F80F2C62951BD44301F8EF8AF1FD32C20147278D8991D0ECA1,A7,anomaly_present,target_present,expansion,image_gen_v2
11,V-1688370323BA0681,F1F13D51EA5B333867C4C395AF821556DD6BCB4175B173C073E104D650693631,A4,anomaly_present,target_present,pilot,legacy_prcv_64
12,V-E7D9823B69F3A482,73D15B73E68F412A408700C57199A94AB1E90F6D1B187745F60DE5A15BE3A519,A5,anomaly_present,target_present,expansion,image_gen_v2
13,V-4F5625D5CE5D9FCF,2CA5F0A7F1551C175CC5C0F9034C1554928ABE79E22E67BADBB549F33D1EF721,A6,target_absent_control,target_absent,expansion,image_gen_v2
14,V-445F74B92D85EB4C,24D4EF5545211C6A6AD995CFE613A2036073022F3B2CD6D78103533BC558AAC5,A1,anomaly_present,target_present,expansion,synthetic_generation_v1
15,V-B8D185C34489723C,D4AA4F5813F05FD56F5DEB95E5554296CDD442AF0E0C2708AD66DACAE98F18A4,A5,anomaly_present,target_present,pilot,legacy_prcv_64
16,V-384D6DC3EAF879E8,51D4FBFD2F8083ADA620232D80C7495AFAFB5E87ED79292E70C37969ADFA2118,A5,target_absent_control,target_absent,expansion,image_gen_v2
17,V-096FCFE8358A5988,BE66FEC3E28D221C7C2E974A833174C9B5757A8D39415A7267F9901F344C54BA,A6,anomaly_present,target_present,pilot,legacy_prcv_64
18,V-CAFF0C5D2BC0FE07,023D834642D0A8E1196E873BD900E83B5E936AA8527EB55F9CC2A16A424339BA,A2,target_absent_control,target_absent,expansion,synthetic_generation_v1
19,V-96CCD9612F818A82,CD7E3CA63728446219E715079D9F1865E07DCB57C09B027F43BCCA7DF2E9FB6C,A4,anomaly_present,target_present,expansion,synthetic_generation_v1
20,V-625910A67A95A7E1,722271896C8DA61AA4C786A2EC71111510E84507D2FF19EADFACC8A204417FB4,A3,target_absent_control,target_absent,pilot,legacy_prcv_64
21,V-9FFCFB7BBEAC1C54,6B97FBE3AF070A9A62AA97B4007EA20A55970590859DA5330A260747F1DEE62B,A2,anomaly_present,target_present,pilot,legacy_prcv_64
22,V-9235A801BBC3EAE8,49CC78FC091FE209921DB840B4301CD72491F9D23E50C74187EDB36295710C34,A1,anomaly_present,target_present,pilot,legacy_prcv_64
23,V-2C108B7C8D61F83F,C70E81149E9E3F08657B191B2361DA53B17C12670FD3F8E8A8603663CEA253FF,A8,target_absent_control,target_absent,pilot,legacy_prcv_64
24,V-081E9D2B3F160ABE,648D55A31EAA295B6E75106DDA84A4C7778A04521AAC6FFCC20978C160917B7F,A3,anomaly_present,target_present,pilot,legacy_prcv_64
25,V-595B0D57DB041A5F,949C6FE251F8FFBD4D3567C546BFDFDBE3E308FC1A1F86D7D62428E4EA13919F,A7,target_absent_control,target_absent,expansion,image_gen_v2
26,V-7773E511A8E24B8A,88EB83BD0D8B63688ACF32AF64A640D2A644250531248E3D0C4E37C2C89573DB,A2,anomaly_present,target_present,expansion,synthetic_generation_v1
27,V-0BD15BA83CEB3A56,EFD208A593BF8919B80AD3EE8D4EC977A89A1751DD624EE78AACE13F62A6CC64,A1,anomaly_present,target_present,expansion,synthetic_generation_v1
