metric_or_mapping,expected_definition,implementation_found,status,evidence,notes
Legal permission labels,"Only prompt_required, prompt_permitted, prompt_violating, ambiguous, no_issue are valid.","Runner and metric code enumerate exactly these five labels.",MATCH,"scripts/03_run_api_audit.py lines 26-31; scripts/06_compute_metrics.py lines 14-20","Parser output CSV may contain invalid labels if produced, but metric parseable_mask excludes them."
Legal hallucination labels,"Only yes, no, uncertain are valid.","Runner and metric code enumerate exactly these three labels.",MATCH,"scripts/03_run_api_audit.py line 33; scripts/06_compute_metrics.py line 22","No aliases are collapsed."
Permission-to-hallucination mapping,"prompt_required=no; prompt_permitted=no; prompt_violating=yes; ambiguous=uncertain; no_issue=no.","README and manual define this mapping, but parser and metrics do not enforce consistency between the two model-returned fields.",PARTIAL,"README.md lines 138-144; scripts/04_parse_outputs.py lines 106-123; scripts/06_compute_metrics.py lines 126-152","Claude parsed outputs contain 2 internal mapping mismatches."
PBA,"Permission Boundary Accuracy should give credit only for exact permission-label matches.","Implemented as permission_status_pred == permission_gold over parseable rows.",MATCH,"scripts/06_compute_metrics.py lines 141-144","This is exact permission-label accuracy, not binary hallucination correctness."
FHR_intended,"Among intended deviations, prompt_required or prompt_permitted, compute fraction labelled hallucination=yes.","Implemented over gold permission in {prompt_required, prompt_permitted}; numerator hallucination_pred == yes.",MATCH,"scripts/06_compute_metrics.py lines 13 and 122-129","Current gold has prompt_required intended samples but no prompt_permitted gold samples."
Creative Preservation,"1 - FHR_intended.","Implemented as 1 - fhr_intended.",MATCH,"scripts/06_compute_metrics.py line 151","Formula is consistent."
MVR_violating,"Among prompt_violating samples, compute fraction where model does not label hallucination=yes.","Implemented as hallucination_pred != yes over prompt_violating gold rows.",MATCH,"scripts/06_compute_metrics.py lines 123 and 130-134","Formula is consistent."
Defect Sensitivity,"1 - MVR_violating.","Implemented as 1 - mvr_violating.",MATCH,"scripts/06_compute_metrics.py line 152","Formula is consistent."
ACR,"Among ambiguous samples, compute fraction labelled hallucination=uncertain.","Implemented as hallucination_pred == uncertain over ambiguous gold rows.",MATCH,"scripts/06_compute_metrics.py lines 124 and 147-150","This uses the hallucination label, not exact permission_status_pred == ambiguous."
Control_FPR,"Among no_issue controls, compute false positive hallucination or false alarm rate.","Not implemented in scripts/06_compute_metrics.py; README mentions No-issue False Alarm Rate/NIFAR but the script does not output it.",MISSING,"README.md line 156; scripts/06_compute_metrics.py lines 136-152","Should be added before claiming control false-positive performance."
Non-ambiguous PBA,"Compute exact permission-label accuracy after excluding ambiguous gold samples.","Not implemented.",MISSING,"scripts/06_compute_metrics.py lines 136-152","Useful because ambiguous dominates the observed PBA ceiling."
Parse error rate,"Fraction of rows that are not parseable due to parse_error or illegal labels.","Metric code treats parse_error, illegal permission, and illegal hallucination as non-parseable.",MATCH,"scripts/06_compute_metrics.py lines 107-115 and 136-140","The parse_outputs CLI summary counts only parse_error text, so invalid legal-label issues would be underreported there."
Gold label validation,"Gold labels must be legal under the schema.","validate_labels rejects illegal permission and hallucination labels.",MATCH,"scripts/06_compute_metrics.py lines 156-163","Gold values in metadata_pairs.csv are legal."
