adjudication_item_id,sample_id,condition,image_path,prompt,target_anomaly,target_anomaly_description,adjudication_priority,adjudication_question,final_anomaly_visible,final_permission,final_confidence_1_3,final_issue_tag,final_rationale
ADJ001,A1_A,ambiguous,image/A1.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A1,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ002,A2_A,ambiguous,image/A2.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A2,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ003,A3_A,ambiguous,image/A3.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A3,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ004,A4_A,ambiguous,image/A4.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A4,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ005,A5_A,ambiguous,image/A5.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A5,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ006,B1_A,ambiguous,image/B1.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B1,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ007,B2_A,ambiguous,image/B2.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B2,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ008,B3_A,ambiguous,image/B3.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B3,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ009,B4_A,ambiguous,image/B4.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B4,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
ADJ010,B5_A,ambiguous,image/B5.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B5,HIGH,"Does the prompt underdetermine whether the target anomaly is allowed, or does it clearly permit/require/violate the target anomaly?",,,,,
