sample_id,condition,target_anomaly,metadata_gold_permission,metadata_gold_hallucination,in_adjudication_packet,adjudication_priority,recommended_initial_gold,adjudicator_final_permission,adjudicator_rationale,final_permission,final_hallucination,gold_source,final_label_available,exclude_reason,rater_A_visibility,rater_A_permission,rater_A_confidence,rater_A_issue_tag,rater_A_comment,rater_B_visibility,rater_B_permission,rater_B_confidence,rater_B_issue_tag,rater_B_comment,rater_C_visibility,rater_C_permission,rater_C_confidence,rater_C_issue_tag,rater_C_comment
A1_V,violating,six fingers / extra fingers,prompt_violating,yes,True,MEDIUM,prompt_violating,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,none,,no,prompt_violating,3,prompt_mismatch,prompt和图像严重不符,yes,prompt_violating,3,none,
A1_P,permitted,six fingers / extra fingers,prompt_required,no,True,MEDIUM,prompt_required,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,unclear,prompt_required,1,target_not_visible,图像与提示词大体符合，异常部位在画面右侧的手只表现出5根手指，存在遮挡关系,yes,prompt_required,2,prompt_mismatch,图像一只手五根手指，另一只手六根手指,yes,prompt_required,3,none,
A1_A,ambiguous,six fingers / extra fingers,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,prompt_required,3,none,,yes,prompt_permitted,3,none,
A2_V,violating,six fingers / extra fingers,prompt_violating,yes,False,,,,,prompt_violating,yes,metadata_stable,True,,yes,prompt_violating,3,none,,yes,prompt_required,2,prompt_mismatch,图像一只手五根手指，另一只手六根手指,yes,prompt_violating,3,none,
A2_P,permitted,six fingers / extra fingers,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,target_not_visible,图像右侧的手存在遮挡关系，似乎存在七根手指,yes,prompt_required,2,prompt_mismatch,图像一只手五根手指，另一只手六根手指,yes,prompt_required,3,none,
A2_A,ambiguous,six fingers / extra fingers,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,prompt_required,3,none,,yes,prompt_permitted,3,none,
A3_V,violating,six fingers / extra fingers,prompt_violating,yes,True,MEDIUM,prompt_violating,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,none,,no,prompt_violating,3,prompt_mismatch,prompt和图像严重不符,yes,prompt_violating,3,none,
A3_P,permitted,six fingers / extra fingers,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_required,3,none,,yes,prompt_required,3,none,
A3_A,ambiguous,six fingers / extra fingers,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,none,,yes,ambiguous,1,none,,yes,prompt_permitted,3,none,
A4_V,violating,six fingers / extra fingers,prompt_violating,yes,False,,,,,prompt_violating,yes,metadata_stable,True,,yes,prompt_violating,3,none,,yes,prompt_required,3,none,,yes,prompt_violating,3,none,
A4_P,permitted,six fingers / extra fingers,prompt_required,no,True,MEDIUM,prompt_required,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_required,3,target_not_visible,图像左侧的手存在遮挡关系，只呈现了四根手指。且右侧的六根手指表现不自然,unclear,prompt_violating,1,target_not_visible,提示要求六根手指，图像有五根手指,yes,prompt_required,3,none,
A4_A,ambiguous,six fingers / extra fingers,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,prompt_required,3,none,,yes,prompt_permitted,3,none,
A5_V,violating,six fingers / extra fingers,prompt_violating,yes,True,MEDIUM,prompt_violating,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,none,,no,prompt_required,2,target_not_visible,提示需要5根，图像六根手指,yes,prompt_violating,3,none,
A5_P,permitted,six fingers / extra fingers,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_required,2,none,,yes,prompt_required,3,none,
A5_A,ambiguous,six fingers / extra fingers,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,prompt_required,2,none,,yes,prompt_permitted,3,none,
A6,no_issue,none,no_issue,no,True,HIGH,no_issue,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,no,no_issue,3,none,,no,no_issue,3,none,,yes,prompt_required,3,none,
A7,no_issue,none,no_issue,no,True,HIGH,no_issue,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,no,no_issue,3,none,,no,no_issue,2,none,,yes,prompt_required,3,none,
A8,no_issue,none,no_issue,no,True,HIGH,no_issue,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,1,target_not_visible,图像左侧的手存在遮挡关系，但可以辨别呈现了六根手指,no,no_issue,2,none,,yes,prompt_required,3,none,
B1_V,violating,illegible or distorted text,prompt_violating,yes,True,MEDIUM,prompt_violating,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,none,,yes,prompt_violating,1,none,,no,prompt_violating,3,none,
B1_P,permitted,illegible or distorted text,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_required,2,none,,yes,prompt_required,3,none,
B1_A,ambiguous,illegible or distorted text,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,ambiguous,2,none,,yes,prompt_permitted,3,none,
B2_V,violating,illegible or distorted text,prompt_violating,yes,True,MEDIUM,prompt_violating,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,none,,yes,prompt_violating,1,none,,no,prompt_violating,3,none,
B2_P,permitted,illegible or distorted text,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_required,2,none,,yes,prompt_required,3,none,
B2_A,ambiguous,illegible or distorted text,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,ambiguous,1,none,,yes,prompt_permitted,3,none,
B3_V,violating,illegible or distorted text,prompt_violating,yes,True,MEDIUM,prompt_violating,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,prompt_mismatch,图像的纹样不像文字，更类似一种抽象的涂鸦,yes,prompt_violating,1,none,,no,prompt_violating,3,none,
B3_P,permitted,illegible or distorted text,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,prompt_mismatch,图像的纹样不像文字，更类似一种抽象的涂鸦,yes,prompt_required,1,none,,yes,prompt_required,3,none,
B3_A,ambiguous,illegible or distorted text,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,prompt_mismatch,图像的纹样不像文字，更类似一种抽象的涂鸦,yes,prompt_required,1,none,,yes,prompt_permitted,3,none,
B4_V,violating,illegible or distorted text,prompt_violating,yes,True,MEDIUM,prompt_violating,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,none,,yes,prompt_violating,1,none,,no,prompt_violating,3,none,
B4_P,permitted,illegible or distorted text,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_required,2,none,,yes,prompt_required,3,none,
B4_A,ambiguous,illegible or distorted text,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,prompt_required,3,none,,yes,prompt_permitted,3,none,
B5_V,violating,illegible or distorted text,prompt_violating,yes,True,MEDIUM,prompt_violating,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,none,,yes,prompt_violating,2,none,,no,prompt_violating,3,none,
B5_P,permitted,illegible or distorted text,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_required,2,none,,yes,prompt_required,3,none,
B5_A,ambiguous,illegible or distorted text,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,prompt_violating,1,none,,yes,prompt_permitted,3,none,
B6,no_issue,none,no_issue,no,True,HIGH,no_issue,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,no,no_issue,3,none,,no,ambiguous,1,prompt_mismatch,提示要求混乱,yes,prompt_required,3,none,
B7,no_issue,none,no_issue,no,True,HIGH,no_issue,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,no,no_issue,3,none,,no,ambiguous,2,prompt_mismatch,提示要求混乱,yes,prompt_required,3,none,
B8,no_issue,none,no_issue,no,True,HIGH,no_issue,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,no,no_issue,3,none,,no,ambiguous,2,prompt_mismatch,提示要求混乱,yes,prompt_required,3,none,
C1_V,violating,upward-flowing water or reversed gravity,prompt_violating,yes,False,,,,,prompt_violating,yes,metadata_stable,True,,yes,prompt_violating,3,none,,yes,prompt_violating,3,none,,yes,prompt_violating,3,none,
C1_P,permitted,upward-flowing water or reversed gravity,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_required,2,none,,yes,prompt_required,3,none,
C1_A,ambiguous,upward-flowing water or reversed gravity,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,prompt_required,2,none,,yes,prompt_permitted,3,none,
C2_V,violating,upward-flowing water or reversed gravity,prompt_violating,yes,False,,,,,prompt_violating,yes,metadata_stable,True,,yes,prompt_violating,3,none,,yes,prompt_violating,3,none,,yes,prompt_violating,3,none,
C2_P,permitted,upward-flowing water or reversed gravity,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_required,3,none,,yes,prompt_required,3,none,
C2_A,ambiguous,upward-flowing water or reversed gravity,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,prompt_required,3,none,,yes,prompt_permitted,3,none,
C3_V,violating,upward-flowing water or reversed gravity,prompt_violating,yes,True,HIGH,prompt_required,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,none,,no,prompt_required,2,none,,yes,prompt_required,3,none,
C3_P,permitted,upward-flowing water or reversed gravity,prompt_required,no,True,HIGH,prompt_violating,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_required,3,none,,no,prompt_violating,2,none,,yes,prompt_violating,3,none,
C3_A,ambiguous,upward-flowing water or reversed gravity,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,no,prompt_violating,2,none,,yes,prompt_violating,3,none,
C4_V,violating,upward-flowing water or reversed gravity,prompt_violating,yes,False,,,,,prompt_violating,yes,metadata_stable,True,,yes,prompt_violating,3,none,,yes,prompt_violating,1,none,,yes,prompt_violating,3,none,
C4_P,permitted,upward-flowing water or reversed gravity,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_required,2,none,,yes,prompt_required,3,none,
C4_A,ambiguous,upward-flowing water or reversed gravity,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,prompt_required,1,none,,yes,prompt_permitted,3,none,
C5_V,violating,upward-flowing water or reversed gravity,prompt_violating,yes,False,,,,,prompt_violating,yes,metadata_stable,True,,yes,prompt_violating,3,none,,yes,prompt_violating,1,none,,yes,prompt_violating,3,none,
C5_P,permitted,upward-flowing water or reversed gravity,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_required,2,none,,yes,prompt_required,3,none,
C5_A,ambiguous,upward-flowing water or reversed gravity,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,prompt_required,2,none,,yes,prompt_permitted,3,none,
C6,no_issue,none,no_issue,no,True,HIGH,no_issue,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,none,图像前景中，河流中的水流运动方向存在矛盾,no,prompt_required,2,none,,yes,prompt_required,3,none,
C7,no_issue,none,no_issue,no,True,HIGH,no_issue,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,no,no_issue,3,none,,no,prompt_required,2,none,,yes,prompt_required,3,none,
C8,no_issue,none,no_issue,no,True,HIGH,no_issue,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,no,no_issue,3,none,,no,prompt_required,2,none,,yes,prompt_required,3,none,
D1_V,violating,human-chair fusion,prompt_violating,yes,False,,,,,prompt_violating,yes,metadata_stable,True,,yes,prompt_violating,3,none,,yes,prompt_violating,2,none,,yes,prompt_violating,3,none,
D1_P,permitted,human-chair fusion,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_required,1,none,,yes,prompt_required,3,none,
D1_A,ambiguous,human-chair fusion,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,yes,prompt_required,1,none,,yes,prompt_permitted,3,none,
D2_V,violating,human-chair fusion,prompt_violating,yes,False,,,,,prompt_violating,yes,metadata_stable,True,,yes,prompt_violating,3,none,,yes,no_issue,1,none,,yes,prompt_violating,3,none,
D2_P,permitted,human-chair fusion,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_permitted,1,other,提示要求异常，但画面正常,yes,prompt_required,3,none,
D2_A,ambiguous,human-chair fusion,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,unclear,ambiguous,1,other,提示词不清晰,yes,prompt_permitted,3,none,
D3_V,violating,human-chair fusion,prompt_violating,yes,False,,,,,prompt_violating,yes,metadata_stable,True,,yes,prompt_violating,3,none,,yes,prompt_violating,3,none,,yes,prompt_violating,3,none,
D3_P,permitted,human-chair fusion,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,prompt_required,2,none,,yes,prompt_required,3,none,
D3_A,ambiguous,human-chair fusion,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,unclear,ambiguous,1,none,,yes,prompt_permitted,3,none,
D4_V,violating,human-chair fusion,prompt_violating,yes,True,MEDIUM,prompt_violating,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,none,,no,prompt_violating,1,none,,yes,prompt_violating,3,none,
D4_P,permitted,human-chair fusion,prompt_required,no,False,,,,,prompt_required,no,metadata_stable,True,,yes,prompt_required,3,none,,yes,ambiguous,1,other,图像不是融合整体,yes,prompt_required,3,none,
D4_A,ambiguous,human-chair fusion,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,unclear,ambiguous,1,none,,yes,prompt_permitted,3,none,
D5_V,violating,human-chair fusion,prompt_violating,yes,True,MEDIUM,prompt_violating,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_violating,3,none,,no,ambiguous,1,prompt_mismatch,提示词要求分离，但图像不是真实场景,yes,prompt_violating,3,none,
D5_P,permitted,human-chair fusion,prompt_required,no,True,MEDIUM,prompt_required,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_required,3,none,,no,prompt_violating,1,none,,yes,prompt_required,3,none,
D5_A,ambiguous,human-chair fusion,ambiguous,uncertain,True,HIGH,ambiguous,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,yes,prompt_permitted,2,none,,unclear,ambiguous,1,none,,yes,prompt_permitted,3,none,
D6,no_issue,none,no_issue,no,True,HIGH,no_issue,,,,,excluded_uncertain,False,missing_adjudicator_final_permission,no,no_issue,3,none,,no,ambiguous,1,none,,yes,prompt_required,3,none,
