sample_id,model,audit_prompt_type,status,parseable,output_path,error_message
A1_V,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A1_V.json,
A1_P,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A1_P.json,
A1_A,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A1_A.json,
A2_V,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A2_V.json,
A2_P,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A2_P.json,
A2_A,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A2_A.json,
A3_V,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A3_V.json,
A3_P,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A3_P.json,
A3_A,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A3_A.json,
A4_V,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A4_V.json,
A4_P,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A4_P.json,
A4_A,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A4_A.json,
A5_V,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A5_V.json,
A5_P,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A5_P.json,
A5_A,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A5_A.json,
A6,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A6.json,
A7,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A7.json,
A8,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\A8.json,
B1_V,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\B1_V.json,
B1_P,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\B1_P.json,
B1_A,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\B1_A.json,
B2_V,claude-sonnet-4-6,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\claude-sonnet-4-6\permission_aware\B2_V.json,
