sample_id,model,audit_prompt_type,status,parseable,output_path,error_message
A1_V,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A1_V.json,
A1_P,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A1_P.json,
A1_A,gemini-3.1-pro-preview,permission_aware,success,False,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A1_A.json,Unterminated string starting at: line 4 column 3 (char 82)
A2_V,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A2_V.json,
A2_P,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A2_P.json,
A2_A,gemini-3.1-pro-preview,permission_aware,success,False,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A2_A.json,Unterminated string starting at: line 5 column 13 (char 133)
A3_V,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A3_V.json,
A3_P,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A3_P.json,
A3_A,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A3_A.json,
A4_V,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A4_V.json,
A4_P,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A4_P.json,
A4_A,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A4_A.json,
A5_V,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A5_V.json,
A5_P,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A5_P.json,
A5_A,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A5_A.json,
A6,gemini-3.1-pro-preview,permission_aware,success,False,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A6.json,Unterminated string starting at: line 4 column 3 (char 75)
A7,gemini-3.1-pro-preview,permission_aware,success,False,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A7.json,Unterminated string starting at: line 4 column 3 (char 82)
A8,gemini-3.1-pro-preview,permission_aware,success,False,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\A8.json,Unterminated string starting at: line 4 column 3 (char 75)
B1_V,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B1_V.json,
B1_P,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B1_P.json,
B1_A,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B1_A.json,
B2_V,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B2_V.json,
B2_P,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B2_P.json,
B2_A,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B2_A.json,
B3_V,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B3_V.json,
B3_P,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B3_P.json,
B3_A,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B3_A.json,
B4_V,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B4_V.json,
B4_P,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B4_P.json,
B4_A,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B4_A.json,
B5_V,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B5_V.json,
B5_P,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B5_P.json,
B5_A,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B5_A.json,
B6,gemini-3.1-pro-preview,permission_aware,success,True,E:\project\Not All Weirdness Is Hallucination\outputs\raw\gemini-3.1-pro-preview\permission_aware\B6.json,
