adjudication_item_id 仲裁编号,sample_id 样本编号,condition 条件类型,image_path 图像路径,prompt 评估提示词,target_anomaly 目标异常
ADJ001,A1_A,ambiguous,image/A1.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers
ADJ002,A2_A,ambiguous,image/A2.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers
ADJ003,A3_A,ambiguous,image/A3.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers
ADJ004,A4_A,ambiguous,image/A4.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers
ADJ005,A5_A,ambiguous,image/A5.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers
ADJ006,B1_A,ambiguous,image/B1.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text
ADJ007,B2_A,ambiguous,image/B2.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text
ADJ008,B3_A,ambiguous,image/B3.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text
ADJ009,B4_A,ambiguous,image/B4.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text
ADJ010,B5_A,ambiguous,image/B5.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text
ADJ011,C1_A,ambiguous,image/C1.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity
ADJ012,C2_A,ambiguous,image/C2.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity
ADJ013,C3_A,ambiguous,image/C3.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity
ADJ014,C4_A,ambiguous,image/C4.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity
ADJ015,C5_A,ambiguous,image/C5.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity
ADJ016,D1_A,ambiguous,image/D1.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion
ADJ017,D2_A,ambiguous,image/D2.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion
ADJ018,D3_A,ambiguous,image/D3.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion
ADJ019,D4_A,ambiguous,image/D4.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion
ADJ020,D5_A,ambiguous,image/D5.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion
ADJ021,E1_A,ambiguous,image/E1.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition
ADJ022,E2_A,ambiguous,image/E2.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition
ADJ023,E3_A,ambiguous,image/E3.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition
ADJ024,E4_A,ambiguous,image/E4.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition
ADJ025,E5_A,ambiguous,image/E5.png,A stylized tabletop scene with repeated cup-like shapes and visual rhythm.,duplicated cups / excessive repetition
ADJ026,F1_A,ambiguous,image/F1.png,A strange interior scene with an unusual spatial composition.,impossible room geometry
ADJ027,F2_A,ambiguous,image/F2.png,A strange interior scene with an unusual spatial composition.,impossible room geometry
ADJ028,F3_A,ambiguous,image/F3.png,A strange interior scene with an unusual spatial composition.,impossible room geometry
ADJ029,F4_A,ambiguous,image/F4.png,A strange interior scene with an unusual spatial composition.,impossible room geometry
ADJ030,F5_A,ambiguous,image/F5.png,A strange interior scene with an unusual spatial composition.,impossible room geometry
ADJ031,G1_A,ambiguous,image/G1.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people
ADJ032,G2_A,ambiguous,image/G2.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people
ADJ033,G3_A,ambiguous,image/G3.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people
ADJ034,G4_A,ambiguous,image/G4.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people
ADJ035,G5_A,ambiguous,image/G5.png,A whimsical street scene with unusual scale relationships between people and everyday objects.,giant teacup and tiny people
ADJ036,H1_A,ambiguous,image/H1.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks
ADJ037,H2_A,ambiguous,image/H2.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks
ADJ038,H3_A,ambiguous,image/H3.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks
ADJ039,H4_A,ambiguous,image/H4.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks
ADJ040,H5_A,ambiguous,image/H5.png,An artistic scene about time and memory with deformed clock-like objects in a dreamlike setting.,soft melting clocks / deformed clocks
ADJ041,A6,no_issue,image/A6.png,No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,none
ADJ042,A7,no_issue,image/A7.png,No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,none
ADJ043,A8,no_issue,image/A8.png,No-issue control for Anatomy / Hands. The image should not contain the target anomaly.,none
ADJ044,B6,no_issue,image/B6.png,No-issue control for Text. The image should not contain the target anomaly.,none
ADJ045,B7,no_issue,image/B7.png,No-issue control for Text. The image should not contain the target anomaly.,none
ADJ046,B8,no_issue,image/B8.png,No-issue control for Text. The image should not contain the target anomaly.,none
ADJ047,C6,no_issue,image/C6.png,No-issue control for Physics. The image should not contain the target anomaly.,none
ADJ048,C7,no_issue,image/C7.png,No-issue control for Physics. The image should not contain the target anomaly.,none
