adjudication_item_id 仲裁编号,image_path 图像路径,prompt 评估提示词,target_anomaly 目标异常,target_anomaly_description 目标异常说明,final_anomaly_visible 最终异常是否可见,final_permission 最终权限标签,final_confidence_1_3 最终信心1-3,final_issue_tag 最终问题标签,final_rationale 最终理由
ADJ001,image/A1.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A1,,,,,
ADJ002,image/A2.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A2,,,,,
ADJ003,image/A3.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A3,,,,,
ADJ004,image/A4.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A4,,,,,
ADJ005,image/A5.png,An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,six fingers / extra fingers,Axis: A1 / Anatomy / Hands; target anomaly: six fingers / extra fingers; image: A5,,,,,
ADJ006,image/B1.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B1,,,,,
ADJ007,image/B2.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B2,,,,,
ADJ008,image/B3.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B3,,,,,
ADJ009,image/B4.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B4,,,,,
ADJ010,image/B5.png,A creative poster using expressive typography and distorted letterforms.,illegible or distorted text,Axis: A2 / Text; target anomaly: illegible or distorted text; image: B5,,,,,
ADJ011,image/C1.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C1,,,,,
ADJ012,image/C2.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C2,,,,,
ADJ013,image/C3.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C3,,,,,
ADJ014,image/C4.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C4,,,,,
ADJ015,image/C5.png,A strange poetic landscape with unusual water movement and dreamlike atmosphere.,upward-flowing water or reversed gravity,Axis: A3 / Physics; target anomaly: upward-flowing water or reversed gravity; image: C5,,,,,
ADJ016,image/D1.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D1,,,,,
ADJ017,image/D2.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D2,,,,,
ADJ018,image/D3.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D3,,,,,
ADJ019,image/D4.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D4,,,,,
ADJ020,image/D5.png,An artistic scene of a person and chair forming an unusual visual relationship.,human-chair fusion,Axis: A4 / Object Fusion; target anomaly: human-chair fusion; image: D5,,,,,
