adjudication_item_id,sample_id,condition,metadata_gold_permission,rater_A_permission,rater_B_permission,rater_C_permission,rater_A_visibility,rater_B_visibility,rater_C_visibility,majority_permission,majority_is_safe,why_in_adjudication_packet,recommended_review_focus
ADJ001,A1_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ002,A2_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ003,A3_A,ambiguous,ambiguous,prompt_violating,ambiguous,prompt_permitted,yes,yes,yes,NO_MAJORITY,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ004,A4_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ005,A5_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ006,B1_A,ambiguous,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ007,B2_A,ambiguous,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ008,B3_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ009,B4_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ010,B5_A,ambiguous,ambiguous,prompt_permitted,prompt_violating,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ011,C1_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ012,C2_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ013,C3_A,ambiguous,ambiguous,prompt_permitted,prompt_violating,prompt_violating,yes,no,yes,prompt_violating,False,all_ambiguous_samples_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ014,C4_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ015,C5_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ016,D1_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ017,D2_A,ambiguous,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ018,D3_A,ambiguous,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ019,D4_A,ambiguous,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ020,D5_A,ambiguous,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ021,E1_A,ambiguous,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ022,E2_A,ambiguous,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ023,E3_A,ambiguous,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ024,E4_A,ambiguous,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ025,E5_A,ambiguous,ambiguous,prompt_permitted,ambiguous,prompt_permitted,yes,unclear,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ026,F1_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ027,F2_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ028,F3_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ029,F4_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ030,F5_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ031,G1_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ032,G2_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ033,G3_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ034,G4_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ035,G5_A,ambiguous,ambiguous,prompt_permitted,prompt_required,prompt_permitted,yes,yes,yes,prompt_permitted,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ036,H1_A,ambiguous,ambiguous,prompt_permitted,prompt_required,ambiguous,yes,yes,yes,NO_MAJORITY,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ037,H2_A,ambiguous,ambiguous,prompt_permitted,prompt_required,ambiguous,yes,yes,yes,NO_MAJORITY,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ038,H3_A,ambiguous,ambiguous,prompt_permitted,prompt_required,ambiguous,yes,yes,yes,NO_MAJORITY,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ039,H4_A,ambiguous,ambiguous,prompt_permitted,prompt_required,ambiguous,yes,yes,yes,NO_MAJORITY,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ040,H5_A,ambiguous,ambiguous,prompt_permitted,prompt_required,ambiguous,yes,yes,yes,NO_MAJORITY,False,all_ambiguous_samples_require_adjudication,"Decide whether the prompt explicitly requires, clearly permits, clearly forbids, or underdetermines the target anomaly."
ADJ041,A6,no_issue,no_issue,no_issue,no_issue,prompt_required,no,no,yes,no_issue,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ042,A7,no_issue,no_issue,no_issue,no_issue,prompt_required,no,no,yes,no_issue,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ043,A8,no_issue,no_issue,prompt_violating,no_issue,prompt_required,yes,no,yes,NO_MAJORITY,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ044,B6,no_issue,no_issue,no_issue,ambiguous,prompt_required,no,no,yes,NO_MAJORITY,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ045,B7,no_issue,no_issue,no_issue,ambiguous,prompt_required,no,no,yes,NO_MAJORITY,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ046,B8,no_issue,no_issue,no_issue,ambiguous,prompt_required,no,no,yes,NO_MAJORITY,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
ADJ047,C6,no_issue,no_issue,prompt_violating,prompt_required,prompt_required,yes,no,yes,prompt_required,False,all_no_issue_controls_require_adjudication; anomaly_visibility_disagreement_may_affect_permission,"Check whether the target anomaly is absent/no visible issue. If so, use no_issue, not prompt_required."
