issue_id,severity,component,finding,evidence,impact,recommendation
I01,HIGH,VLM evaluator prompt,"The permission_aware prompt uses the same broad schema but does not reproduce the full human annotation guide definitions.","prompts/auditor_permission_aware.txt lines 10-16 versus score/prcv_bilingual_scoring_manual.docx Table 3","Previous VLM outputs are permission-aware, but should not be described as strictly manual-following human-guide evaluations.","If rerunning, insert the full label definitions and permission-to-hallucination mapping into the auditor prompt."
I02,HIGH,Ambiguity handling,"The VLM prompt names ambiguous but does not explicitly require ambiguous -> hallucination=uncertain or warn against over-resolving vague prompts.","prompts/auditor_permission_aware.txt line 13; README.md line 143","All three previous parsed VLM result files contain zero uncertain hallucination predictions, and no model preserved ambiguous in permission_status_pred.","Rerun only after strengthening ambiguity instructions if manual-faithful ambiguity calibration is required."
I03,MEDIUM,No-issue handling,"The VLM prompt says not an issue but omits the guide rule that no_issue means target anomaly absent or no visible issue, including target_anomaly=none controls.","prompts/auditor_permission_aware.txt line 14; manual Table 3","No_issue controls can be treated as ordinary prompt-following rather than preserved as a distinct permission label.","Add an explicit no_issue rule for target_anomaly=none and for non-visible target anomaly."
I04,MEDIUM,Required versus permitted,"The VLM prompt distinguishes required from permitted, but lacks an explicit caution that broad style terms such as surreal, dreamlike, whimsical, symbolic, or artistic should not automatically be treated as prompt_required.","prompts/auditor_permission_aware.txt lines 10-11; manual Table 3","Models may over-upgrade broad style permission or ambiguous wording to prompt_required.","Add examples and a negative rule: style words can permit or leave ambiguity, but do not by themselves explicitly require the target anomaly."
I05,MEDIUM,Gold label coverage,"metadata_pairs.csv contains no prompt_permitted gold rows; all 40 intended abnormality rows are prompt_required.","data/metadata/metadata_pairs.csv condition-by-permission audit","The experiment can test intended-vs-violating behavior, but has limited coverage for prompt_required versus prompt_permitted discrimination.","Add or relabel genuinely permitted-not-required contexts if that distinction is part of the claim."
I06,MEDIUM,Metric coverage,"Control_FPR and non-ambiguous PBA are requested/important but not implemented in scripts/06_compute_metrics.py.","scripts/06_compute_metrics.py lines 136-152","Current reported metrics omit control false positives and the non-ambiguous accuracy view.","Add these metrics before final paper tables."
I07,MEDIUM,Mapping enforcement,"The parser and metric scripts do not enforce permission_status -> hallucination label consistency for model outputs.","scripts/04_parse_outputs.py lines 106-123; scripts/06_compute_metrics.py lines 126-152","A model can output prompt_required with hallucination=yes and still be scored field-by-field; Claude has 2 such mismatches.","Add an audit column for internal mapping consistency or treat mapping-inconsistent rows separately."
I08,LOW,Parser reporting,"parse_outputs.py reports parse_errors based on parse_error text only; illegal labels would not be counted in that CLI summary, though metric parseable_mask excludes them.","scripts/04_parse_outputs.py lines 132-139; scripts/06_compute_metrics.py lines 107-115","Potential discrepancy between parser summary and metric parse_error_rate if invalid labels occur.","Validate legal labels in parse_outputs.py or report illegal-label counts separately."
I09,LOW,Human comparison,"rater1.xlsx shows annotation drift, especially overuse of prompt_required for no-issue controls.","score/rater1_machine_summary.csv and score/rater1_gold_permission_disagreements.csv","Model-vs-rater1 disagreement should not be treated as model failure without adjudication.","Do not use rater1 as final gold; adjudicate disagreements first."
I10,LOW,Documentation consistency,"README lists No-issue False Alarm Rate/NIFAR, but the metric script does not output it.","README.md line 156; scripts/06_compute_metrics.py lines 136-152","Documentation overstates implemented metric coverage.","Update README or implement NIFAR/Control_FPR."
