prompt_template,label,guide_definition,prompt_definition_found,status,notes
auditor_image_only.txt,prompt_required,"The prompt explicitly requires the anomaly.","Only appears as an allowed JSON enum; no prompt text is provided to the evaluator.",MISSING,"Image-only mode cannot apply the manual's prompt-permission definitions."
auditor_image_only.txt,prompt_permitted,"The prompt does not explicitly require it, but the style or concept clearly permits it.","Only appears as an allowed JSON enum; no prompt text is provided to the evaluator.",MISSING,"No style/concept permission rule is defined in this prompt."
auditor_image_only.txt,prompt_violating,"The prompt asks for a normal, realistic, clear, or plausible version, but the image contains the target anomaly.","The prompt asks whether the target element should be labelled a hallucination, artifact, or defect, without a prompt context.",MISSING,"No prompt-violation definition is available."
auditor_image_only.txt,ambiguous,"The prompt is too vague to decide whether the anomaly is allowed.","Only appears as an allowed JSON enum.",MISSING,"No instruction preserves ambiguity."
auditor_image_only.txt,no_issue,"There is no target anomaly or no visible issue.","Only appears as an allowed JSON enum.",MISSING,"No target_anomaly=none or no-visible-issue rule is defined."
auditor_prompt_conditioned.txt,prompt_required,"The prompt explicitly requires the anomaly.","Only appears as an allowed JSON enum.",MISSING,"The prompt asks whether an element violates or is acceptable, but does not distinguish explicit requirement."
auditor_prompt_conditioned.txt,prompt_permitted,"The prompt does not explicitly require it, but the style or concept clearly permits it.","The prompt asks whether the element should be considered acceptable under the prompt.",PARTIAL,"Acceptable under the prompt is broader than the guide and does not define permitted vs required."
auditor_prompt_conditioned.txt,prompt_violating,"The prompt asks for a normal, realistic, clear, or plausible version, but the image contains the target anomaly.","The prompt asks whether the target unusual element violates the prompt.",PARTIAL,"Prompt violation is mentioned, but the guide's normal/realistic/clear/plausible criteria are absent."
auditor_prompt_conditioned.txt,ambiguous,"The prompt is too vague to decide whether the anomaly is allowed.","Only appears as an allowed JSON enum.",MISSING,"No instruction says to preserve unclear cases as ambiguous/uncertain."
auditor_prompt_conditioned.txt,no_issue,"There is no target anomaly or no visible issue.","Only appears as an allowed JSON enum.",MISSING,"No no-issue definition is provided."
auditor_permission_aware.txt,prompt_required,"The prompt explicitly requires the anomaly.","The prompt instructs the evaluator to decide whether the target element is explicitly required by the prompt.",MATCH,"This matches the guide's core definition."
auditor_permission_aware.txt,prompt_permitted,"The prompt does not explicitly require it, but the style or concept clearly permits it.","The prompt instructs the evaluator to decide whether the target element is stylistically or semantically permitted by the prompt.",MATCH,"This matches the guide's style/concept permission definition, but the prompt does not explicitly warn that broad style words should not be upgraded to prompt_required."
auditor_permission_aware.txt,prompt_violating,"The prompt asks for a normal, realistic, clear, or plausible version, but the image contains the target anomaly.","The prompt instructs the evaluator to decide whether the target element violates or contradicts the prompt.",PARTIAL,"The high-level meaning matches, but the guide's specific normal/realistic/clear/plausible wording is omitted."
auditor_permission_aware.txt,ambiguous,"The prompt is too vague to decide whether the anomaly is allowed.","The prompt includes ambiguous under the prompt as a possible decision.",PARTIAL,"Ambiguous is named, but the prompt does not explicitly map ambiguous to should_label_as_hallucination=uncertain or emphasize preserving uncertainty."
auditor_permission_aware.txt,no_issue,"There is no target anomaly or no visible issue.","The prompt includes or not an issue as a possible decision.",PARTIAL,"No_issue is named, but the target_anomaly=none/no-visible-issue rule from the guide is not stated."
