sample_id,image_id,image_path,axis_code,axis_en,axis_zh,condition,target_anomaly_en,target_anomaly_zh,source_generation_prompt_en,evaluation_prompt_en,evaluation_prompt_zh,permission_gold,hallucination_gold,is_control,include_in_main,final_permission,final_hallucination,gold_source,final_label_available,exclude_reason,adjudicator_rationale
A1_V,A1,image/A1.png,A1,Anatomy / Hands,手部/身体异常,violating,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,真实影棚人像，人物应具有自然人体结构。双手可见，每只手应正好五根手指。,prompt_violating,yes,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
A1_P,A1,image/A1.png,A1,Anatomy / Hands,手部/身体异常,permitted,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,超现实外星人-人类混合表演者肖像，每只手有六根优雅的手指。异常手部是角色设计的有意部分。,prompt_required,no,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
A1_A,A1,image/A1.png,A1,Anatomy / Hands,手部/身体异常,ambiguous,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,具有艺术影棚氛围的神秘表演者想象肖像，人物有奇特的手部。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
A2_V,A2,image/A2.png,A1,Anatomy / Hands,手部/身体异常,violating,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,真实影棚人像，人物应具有自然人体结构。双手可见，每只手应正好五根手指。,prompt_violating,yes,False,True,prompt_violating,yes,metadata_stable,True,,
A2_P,A2,image/A2.png,A1,Anatomy / Hands,手部/身体异常,permitted,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,超现实外星人-人类混合表演者肖像，每只手有六根优雅的手指。异常手部是角色设计的有意部分。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
A2_A,A2,image/A2.png,A1,Anatomy / Hands,手部/身体异常,ambiguous,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,具有艺术影棚氛围的神秘表演者想象肖像，人物有奇特的手部。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
A3_V,A3,image/A3.png,A1,Anatomy / Hands,手部/身体异常,violating,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,真实影棚人像，人物应具有自然人体结构。双手可见，每只手应正好五根手指。,prompt_violating,yes,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
A3_P,A3,image/A3.png,A1,Anatomy / Hands,手部/身体异常,permitted,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,超现实外星人-人类混合表演者肖像，每只手有六根优雅的手指。异常手部是角色设计的有意部分。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
A3_A,A3,image/A3.png,A1,Anatomy / Hands,手部/身体异常,ambiguous,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,具有艺术影棚氛围的神秘表演者想象肖像，人物有奇特的手部。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
A4_V,A4,image/A4.png,A1,Anatomy / Hands,手部/身体异常,violating,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,真实影棚人像，人物应具有自然人体结构。双手可见，每只手应正好五根手指。,prompt_violating,yes,False,True,prompt_violating,yes,metadata_stable,True,,
A4_P,A4,image/A4.png,A1,Anatomy / Hands,手部/身体异常,permitted,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,超现实外星人-人类混合表演者肖像，每只手有六根优雅的手指。异常手部是角色设计的有意部分。,prompt_required,no,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
A4_A,A4,image/A4.png,A1,Anatomy / Hands,手部/身体异常,ambiguous,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",An imaginative portrait of a mysterious performer with unusual hands and an artistic studio atmosphere.,具有艺术影棚氛围的神秘表演者想象肖像，人物有奇特的手部。,ambiguous,uncertain,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
A5_V,A5,image/A5.png,A1,Anatomy / Hands,手部/身体异常,violating,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",A realistic studio portrait of a human performer with natural anatomy. Both hands should be visible and each hand should have exactly five fingers.,真实影棚人像，人物应具有自然人体结构。双手可见，每只手应正好五根手指。,prompt_violating,yes,False,True,,,excluded_uncertain,False,missing_adjudicator_final_permission,
A5_P,A5,image/A5.png,A1,Anatomy / Hands,手部/身体异常,permitted,six fingers / extra fingers,六根手指/额外手指,"A surreal portrait of an alien-human performer with six elegant fingers on each hand, theatrical lighting, dreamlike but detailed, hands clearly visible.",A surreal portrait of an alien-human performer with six elegant fingers on each hand. The unusual hands are an intentional part of the character design.,超现实外星人-人类混合表演者肖像，每只手有六根优雅的手指。异常手部是角色设计的有意部分。,prompt_required,no,False,True,prompt_required,no,metadata_stable,True,,
